goos: windows
goarch: amd64
pkg: github.com/sumit/rtmds/internal/aggregation
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkChannel_DropOldest_Concurrent-8   	 1661574	       748.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1659199	       906.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1538407	       787.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1560146	       710.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropOldest_Concurrent-8   	 1691728	       706.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 2125950	       505.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 2744682	       621.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 1650514	       691.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 1698957	       753.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 1405064	       879.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 2012244	       556.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 2022807	       513.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 2146717	       540.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 1911747	       578.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Push-8         	 1900287	       753.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1673233	       671.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 2071305	       687.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 2111863	       689.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1901292	       552.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1857760	       659.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1885936	       590.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1622308	       766.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 2156256	       596.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1914040	       663.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_PushDrop-8     	 1612516	       721.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1551450	       763.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkChannel_DropNewest_Concurrent-8   	 1615321	       737.5 ns/op	       0 B/op	       0 allocs/op
